"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"","0","1","0","1","0.000000","1","0"
"/Game/CoinGame/Black_Particle.Black_Particle","0","115","120","1","111.959442","0","120"
"/Game/Re/12_-_Default_ncl1_1.12_-_Default_ncl1_1","0","28","28","1","26.944363","0","28"
"/Game/Re/Light.Light","0","28","28","1","26.656841","0","28"
"/Game/FirstPersonArms/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","54","10","1","70.616013","0","382"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","40","1","1","52.663891","0","827"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","69","9","1","103.461517","0","1711"
"/Game/Re/12_-_Default.12_-_Default","0","28","1","1","37.345623","0","334"
"/Game/Re/Material__333.Material__333","0","28","1","1","41.607609","0","294"
"/Game/Re/Material__330.Material__330","0","28","1","1","42.731464","0","246"
"/Game/Re/Material__335.Material__335","0","28","1","1","42.181164","0","131"
"/Game/Re/Material__331.Material__331","0","28","1","1","43.387386","0","169"
"/Game/Re/Material__326.Material__326","0","28","1","1","42.979305","0","192"
"/Game/Re/Material__334.Material__334","0","28","1","1","43.610474","0","193"
"/Game/Re/Material__327.Material__327","0","28","1","1","43.546883","0","216"
"/Game/Re/Material__291.Material__291","0","28","1","1","42.903301","0","174"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","27","1","1","25.262398","0","191"
"/Game/Re/Material__326_ncl1_1.Material__326_ncl1_1","0","28","1","1","43.392765","0","165"
"/Game/Re/Material__328.Material__328","0","28","1","1","43.236778","0","163"
"/Engine/VREditor/BasicMeshes/M_Floor_01.M_Floor_01","0","23","1","1","36.010994","0","149"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","20","1","1","20.245171","0","129"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","15","1","1","16.314922","0","69"
"/Game/Re/?/Material__324.Material__324","0","14","1","1","20.802839","0","72"
"/Game/Re/?/Material__113.Material__113","0","14","2","1","20.846170","0","55"
"/Game/Re/?/Material__70.Material__70","0","14","1","1","20.435123","0","62"
"/Game/FourEvilDragonsHP/Materials/DragonTheSoulEater/GreenMat.GreenMat","0","28","1","1","43.409683","0","199"
"/Game/Re/Material__337.Material__337","0","60","2","1","101.284149","0","625"
"/Game/Re/Material__329.Material__329","0","28","1","1","39.583813","0","185"
"/Game/Re/Material__336.Material__336","0","28","3","1","39.106464","0","143"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","18","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","12","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","5","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","5","1","0.000000","0","0"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","145","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","20","1","0.000000","0","0"
"/Engine/VREditor/UI/KeyMaterial.KeyMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","37","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","37","1","0.000000","0","0"
"/Engine/EditorMaterials/HelpFlatColour.HelpFlatColour","0","0","14","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","37","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","56","6","0.000000","0","5"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","53","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/VREditor/LaserPointer/LaserPointerMaterial.LaserPointerMaterial","0","0","8","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","46","2","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","9","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","145","1","0.000000","0","0"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","0","0","14","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","10","1","0.000000","0","0"
